service_id,date,exception_type
205_2,20220916,1
205_2,20220919,1
205_2,20220920,1
205_2,20220921,1
205_2,20220922,1
205_2,20220923,1
205_2,20220926,1
205_2,20220927,1
205_2,20220928,1
205_2,20220929,1
205_2,20220930,1
153_1,20220828,1
153_1,20220904,1
153_1,20220911,1
153_1,20220918,1
153_1,20220925,1
412,20220903,1
412,20220910,1
412,20220917,1
412,20220924,1
412,20221001,1
701_1,20220903,1
701_1,20220910,1
701_1,20220917,1
701_1,20220924,1
701_1,20221001,1
128_1,20220829,1
128_1,20220830,1
128_1,20220831,1
128_1,20220901,1
128_1,20220902,1
128_1,20220905,1
128_1,20220906,1
128_1,20220907,1
128_1,20220908,1
128_1,20220909,1
128_1,20220912,1
128_1,20220913,1
128_1,20220914,1
128_1,20220915,1
128_1,20220916,1
128_1,20220919,1
128_1,20220920,1
128_1,20220921,1
128_1,20220922,1
128_1,20220923,1
128_1,20220926,1
128_1,20220927,1
128_1,20220928,1
128_1,20220929,1
128_1,20220930,1
1002_2,20220829,1
1002_2,20220830,1
1002_2,20220831,1
1002_2,20220901,1
1002_2,20220902,1
1002_2,20220905,1
1002_2,20220906,1
1002_2,20220907,1
1002_2,20220908,1
1002_2,20220909,1
1002_2,20220912,1
1002_2,20220913,1
1002_2,20220914,1
1002_2,20220915,1
1002_2,20220916,1
1002_2,20220919,1
1002_2,20220920,1
1002_2,20220921,1
1002_2,20220922,1
1002_2,20220923,1
1002_2,20220926,1
1002_2,20220927,1
1002_2,20220928,1
1002_2,20220929,1
1002_2,20220930,1
503_1,20220903,1
503_1,20220910,1
503_1,20220917,1
503_1,20220924,1
503_1,20221001,1
3081,20220829,1
3081,20220830,1
3081,20220831,1
3081,20220901,1
3081,20220902,1
3081,20220905,1
3081,20220906,1
3081,20220907,1
3081,20220908,1
3081,20220909,1
3081,20220912,1
3081,20220913,1
3081,20220914,1
3081,20220915,1
3081,20220916,1
3081,20220919,1
3081,20220920,1
3081,20220921,1
3081,20220922,1
3081,20220923,1
3081,20220926,1
3081,20220927,1
3081,20220928,1
3081,20220929,1
3081,20220930,1
112,20220828,1
112,20220904,1
112,20220911,1
112,20220918,1
112,20220925,1
207_2,20220829,1
207_2,20220830,1
207_2,20220831,1
207_2,20220901,1
207_2,20220902,1
207_2,20220905,1
207_2,20220906,1
207_2,20220907,1
207_2,20220908,1
207_2,20220909,1
207_2,20220912,1
207_2,20220913,1
207_2,20220914,1
207_2,20220915,1
207_2,20220916,1
207_2,20220919,1
207_2,20220920,1
207_2,20220921,1
207_2,20220922,1
207_2,20220923,1
207_2,20220926,1
207_2,20220927,1
207_2,20220928,1
207_2,20220929,1
207_2,20220930,1
7032,20220903,1
7032,20220910,1
7032,20220917,1
7032,20220924,1
7032,20221001,1
309_1,20220903,1
309_1,20220910,1
309_1,20220917,1
309_1,20220924,1
309_1,20221001,1
23_2,20220903,1
23_2,20220910,1
23_2,20220917,1
23_2,20220924,1
23_2,20221001,1
2101,20220903,1
2101,20220910,1
2101,20220917,1
2101,20220924,1
2101,20221001,1
152_3,20220829,1
152_3,20220830,1
152_3,20220831,1
152_3,20220901,1
152_3,20220902,1
152_3,20220905,1
152_3,20220906,1
152_3,20220907,1
152_3,20220908,1
152_3,20220909,1
152_3,20220912,1
152_3,20220913,1
152_3,20220914,1
152_3,20220915,1
152_3,20220916,1
152_3,20220919,1
152_3,20220920,1
152_3,20220921,1
152_3,20220922,1
152_3,20220923,1
152_3,20220926,1
152_3,20220927,1
152_3,20220928,1
152_3,20220929,1
152_3,20220930,1
8081,20220828,1
8081,20220904,1
8081,20220911,1
